Sioux Falls Network
Optimal gap =0.001
Iteration 1
From,To,Travel Time,Flow
1,2,0.100006950453335,3800
1,3,0.0667098670002397,6000
2,1,0.100006950453335,3800
2,6,0.122579411802367,6600
3,1,0.0667098670002397,6000
3,4,0.067929504525554,10200
3,12,0.0667379382537288,6800
4,5,0.0350438430630447,13600
4,11,0.149018068007781,6600
4,3,0.067929504525554,10200
5,4,0.0350438430630447,13600
5,6,0.240274103476975,10100
5,9,0.086334582987995,7000
6,2,0.122579411802367,6600
6,5,0.240274103476975,10100
6,8,0.741659501737737,16900
7,8,0.0585375996664342,8100
7,18,0.0338393259552174,13200
8,16,1.1963685333449,15500
8,9,0.166682409293367,800
8,6,0.741659501737737,16900
8,7,0.0585375996664342,8100
9,5,0.086334582987995,7000
9,8,0.166682409293367,800
9,10,0.0667041999931276,17000
10,17,0.133333333,0
10,9,0.0671007216129645,17100
10,11,0.381513741932278,22100
10,15,0.107080837115955,11200
10,16,11.4499865614034,28200
11,4,0.152057062591597,6700
11,10,0.340626602095827,21300
11,12,0.478225833393371,11000
11,14,1.6875849802678,17400
12,11,0.521205682650193,11300
12,13,0.0503456000000594,12000
12,3,0.0667379382537288,6800
13,24,0.269152774894889,10800
13,12,0.0503940356267344,12400
14,11,1.37735644591621,16500
14,15,0.388753627412094,11400
14,23,0.126426837001447,7700
15,10,0.107337131240809,11300
15,14,0.303137379020091,10500
15,19,0.0717201666739424,19000
15,22,0.305903696244543,23200
16,18,0.0519762708060662,14100
16,17,3.42988451585592,26700
16,10,12.6230301243394,28900
16,8,1.1963685333449,15500
17,10,0.133333333,0
17,16,3.42988451585592,26700
17,19,2.15723775554434,21900
18,7,0.0338393259552174,13200
18,16,0.0523989260812942,14800
18,20,0.0672702134566819,11600
19,20,0.0774684379824184,5100
19,17,2.15723775554434,21900
19,15,0.0691038122730659,18400
20,18,0.0674051118574303,12200
20,19,0.0732139982817726,4500
20,21,0.108576893016626,4400
20,22,0.0993474217377452,5400
21,20,0.107823356291337,4300
21,22,0.224216014440604,13000
21,24,0.437758229223731,13100
22,23,0.0860544446969389,5900
22,21,0.242455312794749,13300
22,15,0.29292183251796,22900
22,20,0.0993474217377452,5400
23,14,0.126426837001447,7700
23,22,0.0860544446969389,5900
23,24,0.0412679270062084,5700
24,21,0.392523777234573,12700
24,13,0.292606147487441,11100
24,23,0.0412679270062084,5700

Iteration 2
From,To,Travel Time,Flow
1,2,0.100009819207069,4142.85199575789
1,3,0.0668115391537938,8119.44870104876
